"Date","Price","Open","High","Low","Vol.","Change %"
"11/26/2019","50.00","51.10","51.20","49.80","980.43K","-1.96%"
"11/25/2019","51.00","51.60","51.90","51.00","326.57K","-1.16%"
"11/24/2019","51.60","51.80","52.00","51.50","78.17K","-0.77%"
"11/21/2019","52.00","52.00","52.20","51.70","371.01K","0.00%"
"11/20/2019","52.00","51.90","52.20","51.60","201.39K","0.00%"
"11/19/2019","52.00","51.10","52.00","51.10","487.44K","0.78%"
"11/18/2019","51.60","51.70","51.90","51.50","409.80K","0.58%"
"11/17/2019","51.30","51.30","51.60","51.00","133.00K","-0.19%"
"11/14/2019","51.40","51.30","52.10","51.30","499.86K","0.78%"
"11/13/2019","51.00","51.40","52.00","50.50","567.32K","-0.78%"
"11/12/2019","51.40","51.50","51.90","51.00","479.47K","0.39%"
"11/11/2019","51.20","51.20","51.30","50.90","357.02K","0.59%"
"11/10/2019","50.90","50.70","51.30","50.60","319.12K","0.39%"
"11/07/2019","50.70","50.30","50.80","50.30","269.40K","0.80%"
"11/06/2019","50.30","50.00","50.30","49.80","254.75K","0.60%"
"11/05/2019","50.00","49.30","50.00","49.15","264.73K","1.42%"
"11/04/2019","49.30","49.30","49.50","49.20","197.23K","0.72%"
"11/03/2019","48.95","49.00","49.20","48.80","108.35K","-1.90%"
"10/31/2019","49.90","49.50","49.95","49.25","492.62K","1.22%"
"10/30/2019","49.30","48.80","49.50","48.55","320.17K","0.51%"
"10/29/2019","49.05","49.90","49.90","47.70","641.55K","-1.70%"
"10/28/2019","49.90","50.20","50.70","49.40","398.35K","-1.19%"
"10/27/2019","50.50","50.50","50.80","50.00","182.84K","0.00%"
"10/24/2019","50.50","50.00","50.50","50.00","357.94K","1.00%"
"10/23/2019","50.00","49.00","50.00","49.00","444.01K","1.63%"
"10/22/2019","49.20","48.80","49.20","48.80","395.48K","0.82%"
"10/21/2019","48.80","48.10","48.80","47.95","498.45K","2.85%"
"10/20/2019","47.45","47.45","47.65","47.20","312.46K","1.17%"
"10/17/2019","46.90","46.40","46.90","46.00","340.46K","1.19%"
"10/16/2019","46.35","46.25","46.50","45.55","737.44K","0.54%"
"10/15/2019","46.10","46.60","46.65","45.85","520.36K","-1.07%"
"10/14/2019","46.60","46.90","46.95","46.20","1.38M","0.00%"
"10/13/2019","46.60","46.75","46.95","46.05","569.31K","-1.06%"
"10/10/2019","47.10","47.10","47.10","46.70","480.08K","0.53%"
"10/09/2019","46.85","47.90","48.15","46.80","510.00K","-1.47%"
"10/08/2019","47.55","48.00","48.15","46.85","709.82K","-0.94%"
"10/07/2019","48.00","49.00","49.15","48.00","717.99K","-1.84%"
"10/06/2019","48.90","49.40","49.75","48.90","402.21K","0.20%"
